package_version,code_name,release_version,status
14ubuntu2,Questing,25.10,Unknown
14ubuntu1,Questing,25.10,Unknown
13ubuntu10.3,Noble,24.04,Supported
13.7ubuntu1,Questing,25.10,Unknown
13.6ubuntu2,Questing,25.10,Unknown
13.6ubuntu2,Plucky,25.04,Unknown
13.6ubuntu1,Plucky,25.04,Unknown
13ubuntu10.2,Noble,24.04,Supported
13.5ubuntu3,Plucky,25.04,Unknown
13.5ubuntu2,Plucky,25.04,Unknown
13.5ubuntu1,Plucky,25.04,Unknown
13.3ubuntu6,Plucky,25.04,Unknown
13.3ubuntu6,Oracular,24.10,EOL
12ubuntu4.7,Jammy,22.04,Supported
13.3ubuntu5,Oracular,24.10,EOL
13.3ubuntu4,Oracular,24.10,EOL
13ubuntu10.1,Noble,24.04,Supported
13.3ubuntu3,Oracular,24.10,EOL
13.3ubuntu2,Oracular,24.10,EOL
13.3ubuntu1,Oracular,24.10,EOL
13.1ubuntu1,Oracular,24.10,EOL
13ubuntu11,Oracular,24.10,EOL
13ubuntu10,Oracular,24.10,EOL
13ubuntu10,Noble,24.04,Supported
13ubuntu9,Noble,24.04,Supported
13ubuntu7,Noble,24.04,Supported
13ubuntu8,Noble,24.04,Supported
12ubuntu4.6,Jammy,22.04,Supported
9.4ubuntu4.14,Xenial,16.04,Supported
10.1ubuntu2.12,Bionic,18.04,Supported
11ubuntu5.8,Focal,20.04,Supported
12ubuntu4.5,Jammy,22.04,Supported
12.3ubuntu2.1,Lunar,23.04,EOL
13ubuntu2.1,Mantic,23.10,EOL
13ubuntu6,Noble,24.04,Supported
13ubuntu5,Noble,24.04,Supported
13ubuntu4,Noble,24.04,Supported
13ubuntu3,Noble,24.04,Supported
13ubuntu2,Noble,24.04,Supported
13ubuntu2,Mantic,23.10,EOL
12ubuntu4.4,Jammy,22.04,Supported
13ubuntu1,Mantic,23.10,EOL
12.3ubuntu3,Mantic,23.10,EOL
12.3ubuntu2,Mantic,23.10,EOL
12.3ubuntu2,Lunar,23.04,EOL
11ubuntu5.7,Focal,20.04,Supported
12ubuntu4.3,Jammy,22.04,Supported
12.3ubuntu1,Lunar,23.04,EOL
12.2ubuntu4,Lunar,23.04,EOL
12.2ubuntu3,Lunar,23.04,EOL
12.2ubuntu3,Kinetic,22.10,EOL
11ubuntu5.6,Focal,20.04,Supported
12ubuntu4.2,Jammy,22.04,Supported
12.2ubuntu2,Kinetic,22.10,EOL
12.2ubuntu1,Kinetic,22.10,EOL
12ubuntu4.1,Kinetic,22.10,EOL
12ubuntu5,Kinetic,22.10,EOL
12ubuntu4.1,Jammy,22.04,Supported
12ubuntu4,Kinetic,22.10,EOL
12ubuntu4,Jammy,22.04,Supported
12ubuntu3,Jammy,22.04,Supported
11ubuntu5.5,Focal,20.04,Supported
12ubuntu2,Jammy,22.04,Supported
12ubuntu1,Jammy,22.04,Supported
11.1ubuntu5,Jammy,22.04,Supported
11.1ubuntu5,Impish,21.10,EOL
11.1ubuntu4,Impish,21.10,EOL
10.1ubuntu2.11,Bionic,18.04,Supported
11ubuntu5.4,Focal,20.04,Supported
11.1ubuntu3,Impish,21.10,EOL
11.1ubuntu2,Impish,21.10,EOL
11.1ubuntu1,Impish,21.10,EOL
11ubuntu19,Impish,21.10,EOL
11ubuntu19,Hirsute,21.04,EOL
11ubuntu18,Hirsute,21.04,EOL
11ubuntu17,Hirsute,21.04,EOL
11ubuntu5.3,Focal,20.04,Supported
11ubuntu16,Hirsute,21.04,EOL
11ubuntu15,Hirsute,21.04,EOL
11ubuntu14,Hirsute,21.04,EOL
11ubuntu14,Groovy,20.10,EOL
11ubuntu13,Groovy,20.10,EOL
11ubuntu5.2,Focal,20.04,Supported
10.1ubuntu2.10,Bionic,18.04,Supported
9.4ubuntu4.13,Xenial,16.04,Supported
11ubuntu12,Groovy,20.10,EOL
11ubuntu11,Groovy,20.10,EOL
9.4ubuntu4.12,Xenial,16.04,Supported
10.1ubuntu2.9,Bionic,18.04,Supported
11ubuntu10,Groovy,20.10,EOL
11ubuntu5.1,Focal,20.04,Supported
11ubuntu9,Groovy,20.10,EOL
11ubuntu8,Groovy,20.10,EOL
11ubuntu7,Groovy,20.10,EOL
11ubuntu6,Groovy,20.10,EOL
11ubuntu5,Groovy,20.10,EOL
11ubuntu5,Focal,20.04,Supported
11ubuntu4,Focal,20.04,Supported
11ubuntu2,Focal,20.04,Supported
11ubuntu3,Focal,20.04,Supported
10.1ubuntu2.8,Bionic,18.04,Supported
10.2ubuntu7.19.10.0,Eoan,19.10,EOL
11ubuntu1,Focal,20.04,Supported
10.2ubuntu7,Focal,20.04,Supported
10.2ubuntu7,Eoan,19.10,EOL
9.4ubuntu4.11,Xenial,16.04,Supported
10.1ubuntu2.7,Bionic,18.04,Supported
10.1ubuntu9.2,Disco,19.04,EOL
10.2ubuntu6,Eoan,19.10,EOL
10.2ubuntu5,Eoan,19.10,EOL
10.1ubuntu2.6,Bionic,18.04,Supported
10.1ubuntu7.1,Cosmic,18.10,EOL
10.1ubuntu2.5,Bionic,18.04,Supported
10.1ubuntu9.1,Disco,19.04,EOL
9.4ubuntu4.10,Xenial,16.04,Supported
9.4ubuntu4.9,Xenial,16.04,Supported
10.2ubuntu4,Eoan,19.10,EOL
10.2ubuntu3,Eoan,19.10,EOL
10.2ubuntu2,Eoan,19.10,EOL
10.2ubuntu1,Eoan,19.10,EOL
10.1ubuntu10,Eoan,19.10,EOL
10.1ubuntu9,Eoan,19.10,EOL
10.1ubuntu9,Disco,19.04,EOL
7.2ubuntu5.6,Trusty,14.04,Supported
9.4ubuntu4.8,Xenial,16.04,Supported
